theta,a,b,z,status
0,3.8,0.0,-2.5,NotYet
0,3.8,0.0,-2.4,NotYet
0,3.8,0.0,-2.3,NotYet
0,3.8,0.0,-2.2,NotYet
0,3.8,0.0,-2.1,NotYet
0,3.8,0.0,-2.0,NotYet
0,3.8,0.0,-1.9,NotYet
0,3.8,0.0,-1.8,NotYet
0,3.8,0.0,-1.7,NotYet
0,3.8,0.0,-1.6,NotYet
0,3.8,0.0,-1.5,NotYet
0,3.8,0.0,-1.4,NotYet
0,3.8,0.0,-1.3,NotYet
0,3.8,0.0,-1.2,NotYet
0,3.8,0.0,-1.1,NotYet
0,3.8,0.0,-1.0,NotYet
0,3.8,0.0,-0.9,NotYet
0,3.8,0.0,-0.8,NotYet
0,3.8,0.0,-0.7,NotYet
0,3.8,0.0,-0.6,NotYet
0,3.8,0.0,-0.5,NotYet
0,3.8,0.0,-0.4,NotYet
0,3.8,0.0,-0.3,NotYet
0,3.8,0.0,-0.2,NotYet
0,3.8,0.0,-0.1,NotYet
0,3.8,0.0,0.0,NotYet
0,3.8,0.0,0.1,NotYet
0,3.8,0.0,0.2,NotYet
0,3.8,0.0,0.3,NotYet
0,3.8,0.0,0.4,NotYet
0,3.8,0.0,0.5,NotYet
0,3.8,0.0,0.6,NotYet
0,3.8,0.0,0.7,NotYet
0,3.8,0.0,0.8,NotYet
0,3.8,0.0,0.9,NotYet
0,3.8,0.0,1.0,NotYet
0,3.8,0.0,1.1,NotYet
0,3.8,0.0,1.2,NotYet
0,3.8,0.0,1.3,NotYet
0,3.8,0.0,1.4,NotYet
0,3.8,0.0,1.5,NotYet
0,3.8,0.0,1.6,NotYet
0,3.8,0.0,1.7,NotYet
0,3.8,0.0,1.8,NotYet
0,3.8,0.0,1.9,NotYet
0,3.8,0.0,2.0,NotYet
0,3.8,0.0,2.1,NotYet
0,3.8,0.0,2.2,NotYet
0,3.8,0.0,2.3,NotYet
0,3.8,0.0,2.4,NotYet
0,3.8,0.0,2.5,NotYet
0,1.2,4.4,-2.5,NotYet
0,1.2,4.4,-2.4,NotYet
0,1.2,4.4,-2.3,NotYet
0,1.2,4.4,-2.2,NotYet
0,1.2,4.4,-2.1,NotYet
0,1.2,4.4,-2.0,NotYet
0,1.2,4.4,-1.9,NotYet
0,1.2,4.4,-1.8,NotYet
0,1.2,4.4,-1.7,NotYet
0,1.2,4.4,-1.6,NotYet
0,1.2,4.4,-1.5,NotYet
0,1.2,4.4,-1.4,NotYet
0,1.2,4.4,-1.3,NotYet
0,1.2,4.4,-1.2,NotYet
0,1.2,4.4,-1.1,NotYet
0,1.2,4.4,-1.0,NotYet
0,1.2,4.4,-0.9,NotYet
0,1.2,4.4,-0.8,NotYet
0,1.2,4.4,-0.7,NotYet
0,1.2,4.4,-0.6,NotYet
0,1.2,4.4,-0.5,NotYet
0,1.2,4.4,-0.4,NotYet
0,1.2,4.4,-0.3,NotYet
0,1.2,4.4,-0.2,NotYet
0,1.2,4.4,-0.1,NotYet
0,1.2,4.4,0.0,NotYet
0,1.2,4.4,0.1,NotYet
0,1.2,4.4,0.2,NotYet
0,1.2,4.4,0.3,NotYet
0,1.2,4.4,0.4,NotYet
0,1.2,4.4,0.5,NotYet
0,1.2,4.4,0.6,NotYet
0,1.2,4.4,0.7,NotYet
0,1.2,4.4,0.8,NotYet
0,1.2,4.4,0.9,NotYet
0,1.2,4.4,1.0,NotYet
0,1.2,4.4,1.1,NotYet
0,1.2,4.4,1.2,NotYet
0,1.2,4.4,1.3,NotYet
0,1.2,4.4,1.4,NotYet
0,1.2,4.4,1.5,NotYet
0,1.2,4.4,1.6,NotYet
0,1.2,4.4,1.7,NotYet
0,1.2,4.4,1.8,NotYet
0,1.2,4.4,1.9,NotYet
0,1.2,4.4,2.0,NotYet
0,1.2,4.4,2.1,NotYet
0,1.2,4.4,2.2,NotYet
0,1.2,4.4,2.3,NotYet
0,1.2,4.4,2.4,NotYet
0,1.2,4.4,2.5,NotYet
0,5.0,4.4,-5.0,NotYet
0,5.0,4.4,-4.9,NotYet
0,5.0,4.4,-4.8,NotYet
0,5.0,4.4,-4.7,NotYet
0,5.0,4.4,-4.6,NotYet
0,5.0,4.4,-4.5,NotYet
0,5.0,4.4,-4.4,NotYet
0,5.0,4.4,-4.3,NotYet
0,5.0,4.4,-4.2,NotYet
0,5.0,4.4,-4.1,NotYet
0,5.0,4.4,-4.0,NotYet
0,5.0,4.4,-3.9,NotYet
0,5.0,4.4,-3.8,NotYet
0,5.0,4.4,-3.7,NotYet
0,5.0,4.4,-3.6,NotYet
0,5.0,4.4,-3.5,NotYet
0,5.0,4.4,-3.4,NotYet
0,5.0,4.4,-3.3,NotYet
0,5.0,4.4,-3.2,NotYet
0,5.0,4.4,-3.1,NotYet
0,5.0,4.4,-3.0,NotYet
0,5.0,4.4,-2.9,NotYet
