cx,cy,cz,status,theta,a,b,z
-1.8,-2.2,10.2,NotYet,45,7.0,4.8,-1.3
1.8,-2.2,10.2,NotYet,45,7.0,4.8,-1.3
-1.7,-1.9,10.0,NotYet,45,7.0,4.8,-1.3
1.7,-1.9,10.0,NotYet,45,7.0,4.8,-1.3
-1.5,-1.3,9.5,NotYet,45,7.0,4.8,-1.3
-1.4,-1.3,9.4,NotYet,45,7.0,4.8,-1.3
1.4,-1.3,9.4,NotYet,45,7.0,4.8,-1.3
1.5,-1.3,9.5,NotYet,45,7.0,4.8,-1.3
-1.6,-1.2,9.5,NotYet,45,7.0,4.8,-1.3
-1.3,-1.2,9.3,NotYet,45,7.0,4.8,-1.3
1.3,-1.2,9.3,NotYet,45,7.0,4.8,-1.3
1.6,-1.2,9.5,NotYet,45,7.0,4.8,-1.3
-1.7,-1.1,9.5,NotYet,45,7.0,4.8,-1.3
1.7,-1.1,9.5,NotYet,45,7.0,4.8,-1.3
-1.9,-1.0,9.6,NotYet,45,7.0,4.8,-1.3
-1.8,-1.0,9.6,NotYet,45,7.0,4.8,-1.3
1.8,-1.0,9.6,NotYet,45,7.0,4.8,-1.3
1.9,-1.0,9.6,NotYet,45,7.0,4.8,-1.3
-1.0,-0.9,9.0,NotYet,45,7.0,4.8,-1.3
-0.9,-0.9,8.9,NotYet,45,7.0,4.8,-1.3
-0.8,-0.9,9.0,NotYet,45,7.0,4.8,-1.3
-0.7,-0.9,9.0,NotYet,45,7.0,4.8,-1.3
-0.6,-0.9,9.0,NotYet,45,7.0,4.8,-1.3
-0.5,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
-0.4,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
-0.3,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
-0.2,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
-0.1,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
0.0,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
0.1,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
0.2,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
0.3,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
0.4,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
0.5,-0.9,9.1,NotYet,45,7.0,4.8,-1.3
0.6,-0.9,9.0,NotYet,45,7.0,4.8,-1.3
0.7,-0.9,9.0,NotYet,45,7.0,4.8,-1.3
0.8,-0.9,9.0,NotYet,45,7.0,4.8,-1.3
0.9,-0.9,8.9,NotYet,45,7.0,4.8,-1.3
1.0,-0.9,9.0,NotYet,45,7.0,4.8,-1.3
-1.1,-0.7,8.9,NotYet,45,7.0,4.8,-1.3
1.1,-0.7,8.9,NotYet,45,7.0,4.8,-1.3
-1.2,-0.6,8.9,NotYet,45,7.0,4.8,-1.3
1.2,-0.6,8.9,NotYet,45,7.0,4.8,-1.3
-1.3,-0.5,8.9,NotYet,45,7.0,4.8,-1.3
1.3,-0.5,8.9,NotYet,45,7.0,4.8,-1.3
-1.4,-0.4,8.8,NotYet,45,7.0,4.8,-1.3
1.4,-0.4,8.8,NotYet,45,7.0,4.8,-1.3
-1.5,-0.3,8.8,NotYet,45,7.0,4.8,-1.3
1.5,-0.3,8.8,NotYet,45,7.0,4.8,-1.3
-1.6,-0.1,8.7,NotYet,45,7.0,4.8,-1.3
1.6,-0.1,8.7,NotYet,45,7.0,4.8,-1.3
-1.7,0.1,8.6,NotYet,45,7.0,4.8,-1.3
1.7,0.1,8.6,NotYet,45,7.0,4.8,-1.3
-1.8,0.3,8.6,NotYet,45,7.0,4.8,-1.3
1.8,0.3,8.6,NotYet,45,7.0,4.8,-1.3
-1.9,0.5,8.5,NotYet,45,7.0,4.8,-1.3
1.9,0.5,8.5,NotYet,45,7.0,4.8,-1.3
-2.0,0.7,8.4,NotYet,45,7.0,4.8,-1.3
2.0,0.7,8.4,NotYet,45,7.0,4.8,-1.3
-2.1,0.8,8.4,NotYet,45,7.0,4.8,-1.3
2.1,0.8,8.4,NotYet,45,7.0,4.8,-1.3
-2.2,1.0,8.2,NotYet,45,7.0,4.8,-1.3
2.2,1.0,8.2,NotYet,45,7.0,4.8,-1.3
-2.3,1.1,8.2,NotYet,45,7.0,4.8,-1.3
2.3,1.1,8.2,NotYet,45,7.0,4.8,-1.3
-2.5,1.2,8.0,NotYet,45,7.0,4.8,-1.3
-2.4,1.2,8.1,NotYet,45,7.0,4.8,-1.3
2.4,1.2,8.1,NotYet,45,7.0,4.8,-1.3
2.5,1.2,8.0,NotYet,45,7.0,4.8,-1.3
-2.9,1.4,7.8,NotYet,45,7.0,4.8,-1.3
-2.8,1.4,7.7,NotYet,45,7.0,4.8,-1.3
-2.7,1.4,7.8,NotYet,45,7.0,4.8,-1.3
2.7,1.4,7.8,NotYet,45,7.0,4.8,-1.3
2.8,1.4,7.7,NotYet,45,7.0,4.8,-1.3
2.9,1.4,7.8,NotYet,45,7.0,4.8,-1.3
-3.4,1.5,7.8,NotYet,45,7.0,4.8,-1.3
-3.3,1.5,7.8,NotYet,45,7.0,4.8,-1.3
-3.2,1.5,7.8,NotYet,45,7.0,4.8,-1.3
-3.1,1.5,7.8,NotYet,45,7.0,4.8,-1.3
-3.0,1.5,7.8,NotYet,45,7.0,4.8,-1.3
-2.6,1.5,7.8,NotYet,45,7.0,4.8,-1.3
2.6,1.5,7.8,NotYet,45,7.0,4.8,-1.3
3.0,1.5,7.8,NotYet,45,7.0,4.8,-1.3
3.1,1.5,7.8,NotYet,45,7.0,4.8,-1.3
3.2,1.5,7.8,NotYet,45,7.0,4.8,-1.3
3.3,1.5,7.8,NotYet,45,7.0,4.8,-1.3
3.4,1.5,7.8,NotYet,45,7.0,4.8,-1.3
-2.5,1.6,7.8,NotYet,45,7.0,4.8,-1.3
2.5,1.6,7.8,NotYet,45,7.0,4.8,-1.3
-2.4,1.7,7.8,NotYet,45,7.0,4.8,-1.3
2.4,1.7,7.8,NotYet,45,7.0,4.8,-1.3
-2.3,1.8,7.8,NotYet,45,7.0,4.8,-1.3
2.3,1.8,7.8,NotYet,45,7.0,4.8,-1.3
-2.2,1.9,7.8,NotYet,45,7.0,4.8,-1.3
2.2,1.9,7.8,NotYet,45,7.0,4.8,-1.3
-2.1,2.1,7.7,NotYet,45,7.0,4.8,-1.3
2.1,2.1,7.7,NotYet,45,7.0,4.8,-1.3
-2.0,2.2,7.7,NotYet,45,7.0,4.8,-1.3
2.0,2.2,7.7,NotYet,45,7.0,4.8,-1.3
