cx,cy,cz,a,b,theta,Rt,Rp,status
1.7,-1.0,15.7,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,-0.9,15.7,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.8,15.7,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.7,15.7,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.6,15.7,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.5,15.6,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.4,15.6,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.3,15.6,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,-0.2,15.6,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,-0.1,15.6,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,0.0,15.6,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,0.1,15.5,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,0.2,15.5,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,0.3,15.5,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,0.4,15.5,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,0.5,15.5,7.2,6.0,25,-0.2,-0.6,NotYet
1.9,0.6,15.4,7.2,6.0,25,-0.2,-0.6,NotYet
2.0,0.7,15.4,7.2,6.0,25,-0.2,-0.6,NotYet
2.0,0.8,15.4,7.2,6.0,25,-0.2,-0.6,NotYet
2.1,0.9,15.4,7.2,6.0,25,-0.2,-0.6,NotYet
2.2,1.0,15.5,7.2,6.0,25,-0.2,-0.6,NotYet
